Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_mbstr.i                                             162               162     0.00%          11                11     0.00%         266               266     0.00%         132               132     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_object.i                                            202               168    16.83%           9                 7    22.22%         276               229    17.03%         148               129    12.84%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_octet.i                                               3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_print.i                                              79                79     0.00%           2                 2     0.00%          55                55     0.00%          68                68     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_set.i                                               132               132     0.00%           3                 3     0.00%         116               116     0.00%          60                60     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_sign.i                                               53                49     7.55%           2                 1    50.00%          86                77    10.47%          40                38     5.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_strex.i                                             305               305     0.00%          14                14     0.00%         405               405     0.00%         220               220     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_strnid.i                                            102               102     0.00%          12                12     0.00%         119               119     0.00%          48                48     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_time.i                                                4                 3    25.00%           4                 3    25.00%          13                10    23.08%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_time_tm.i                                           232               232     0.00%          21                21     0.00%         272               272     0.00%         168               168     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_type.i                                               64                64     0.00%           4                 4     0.00%          77                77     0.00%          74                74     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_utf8.i                                              105               105     0.00%           2                 2     0.00%         100               100     0.00%          72                72     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_verify.i                                             42                42     0.00%           1                 1     0.00%          69                69     0.00%          28                28     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/ameth_lib.i                                           145               126    13.10%          20                15    25.00%         226               197    12.83%          74                69     6.76%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn1_err.i                                              3                 0   100.00%           1                 0   100.00%           6                 0   100.00%           2                 0   100.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn1_gen.i                                            344               344     0.00%           9                 9     0.00%         517               517     0.00%         262               262     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/asn1_lib.i                                            215                96    55.35%          26                14    46.15%         330               147    55.45%         144                79    45.14%
