Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn1_gen.c,560,560,0.00%,12,12,0.00%,545,545,0.00%,274,274,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn1_lib.c,231,121,47.62%,24,13,45.83%,301,151,49.83%,128,83,35.16%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn1_par.c,333,333,0.00%,5,5,0.00%,310,310,0.00%,220,220,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn_mime.c,604,604,0.00%,25,25,0.00%,690,690,0.00%,328,328,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn_moid.c,50,50,0.00%,4,4,0.00%,60,60,0.00%,20,20,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn_mstbl.c,73,73,0.00%,4,4,0.00%,81,81,0.00%,40,40,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn_pack.c,37,37,0.00%,2,2,0.00%,36,36,0.00%,20,20,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/bio_asn1.c,202,202,0.00%,18,18,0.00%,260,260,0.00%,112,112,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/bio_ndef.c,82,82,0.00%,5,5,0.00%,108,108,0.00%,34,34,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/d2i_pr.c,73,60,17.81%,3,2,33.33%,100,87,13.00%,44,38,13.64%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/evp_asn1.c,56,56,0.00%,4,4,0.00%,65,65,0.00%,26,26,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/f_int.c,115,115,0.00%,4,4,0.00%,124,124,0.00%,58,58,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/f_string.c,101,101,0.00%,2,2,0.00%,107,107,0.00%,48,48,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/i2d_pr.c,15,10,33.33%,1,0,100.00%,16,12,25.00%,10,8,20.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/i2d_pu.c,10,5,50.00%,1,0,100.00%,19,11,42.11%,8,2,75.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/nsseq.c,5,5,0.00%,1,1,0.00%,8,8,0.00%,2,2,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/p5_pbe.c,53,53,0.00%,2,2,0.00%,54,54,0.00%,22,22,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/p5_pbev2.c,116,116,0.00%,3,3,0.00%,118,118,0.00%,62,62,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/p5_scrypt.c,142,142,0.00%,3,3,0.00%,158,158,0.00%,78,78,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/p8_pkey.c,29,29,0.00%,5,5,0.00%,38,38,0.00%,20,20,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/t_pkey.c,73,73,0.00%,2,2,0.00%,59,59,0.00%,40,40,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_dec.c,780,450,42.31%,13,4,69.23%,795,459,42.26%,442,269,39.14%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_enc.c,412,189,54.13%,9,3,66.67%,401,186,53.62%,272,151,44.49%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_fre.c,139,39,71.94%,5,0,100.00%,155,40,74.19%,98,38,61.22%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_new.c,234,93,60.26%,8,0,100.00%,247,100,59.51%,146,71,51.37%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_prn.c,381,381,0.00%,21,21,0.00%,393,393,0.00%,256,256,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_typ.c,3,1,66.67%,2,1,50.00%,8,4,50.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/tasn_utl.c,123,82,33.33%,10,0,100.00%,144,82,43.06%,68,54,20.59%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/x_algor.c,70,46,34.29%,5,3,40.00%,72,49,31.94%,46,36,21.74%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/x_bignum.c,54,23,57.41%,7,2,71.43%,70,29,58.57%,32,17,46.88%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/x_int64.c,149,112,24.83%,12,9,25.00%,128,94,26.56%,68,57,16.18%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/x_sig.c,10,10,0.00%,2,2,0.00%,12,12,0.00%,8,8,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/async/arch/async_posix.c,20,20,0.00%,4,4,0.00%,25,25,0.00%,4,4,0.00%
